NAME	TITLE	SCORE	
TBX18		955.97687	
NPPB		874.99646	
RGS7BP		864.419	
OAS3		582.28796	
ABCB1		526.8942	
HOXC13-AS		513.30365	
PSG4		510.88275	
PLSCR4		500.24567	
C1S		455.0411	
CPA3		426.59274	
OAS2		405.21442	
LAP3		350.77203	
HLA-B		336.7736	
IFIT3		335.70004	
SSTR1		303.384	
PARP14		293.55127	
SELENBP1		290.051	
IFI27		288.94772	
ENSG00000291089		275.4378	
SLC12A3		275.18155	
MYO3A		273.43115	
STAT1		272.05792	
DDX60		260.1822	
TMC3		254.25888	
PSG5		234.91109	
POSTN		226.844	
IGFBP5		219.59215	
RPS24P17		218.96031	
MRS2		216.92574	
TSPAN8		216.7448	
MT1M		202.56088	
PLEKHS1		201.43112	
TRIM22		196.56364	
ADAMTS1		188.65703	
DIO2		184.13475	
ENSG00000287054		169.45006	
ZNF521		167.50366	
PPME1		167.32007	
C2CD3		161.27986	
OAS1		159.88309	
LRRC37A6P		153.65051	
DDX58		150.18242	
ADCYAP1		143.56511	
CMPK2		141.69144	
MX1		140.74788	
COL5A2		138.82689	
FAM189A1		137.0919	
IFITM3		135.89034	
TRANK1		129.31673	
ANO4		128.52441	
SEC61A1		126.16836	
ISG15		120.083015	
C3orf58		117.784706	
GABRA2		114.98784	
UCP2		113.8488	
GNAO1		113.340294	
DGKG		111.78447	
TAP1		106.19158	
UAP1L1		104.81443	
USP18		99.62643	
HERC6		98.80573	
SPX		97.00325	
MCM2		96.81261	
PSG7		96.655266	
PPM1H		95.33828	
HLA-F		93.47701	
ZNF432		93.204185	
ZNFX1		92.417404	
TRIM38		91.04696	
ATP6V0A4		90.20177	
HERC5		88.47073	
GBP1		87.84758	
KLHDC7B		86.79304	
ME1		86.76353	
PLSCR1		86.21447	
TYMP		85.862976	
CCL5		84.339134	
MGARP		82.78561	
PPM1K		82.664154	
CBSL		81.02488	
SLC15A3		80.650085	
ZNF366		79.68238	
SULF1		79.27796	
SLC1A1		79.03011	
AK5		78.761185	
DDX60L		78.30978	
CEACAMP10		78.04757	
SAMD9L		77.47939	
HEG1		77.14938	
RSAD2		76.2742	
GRIA1		75.65267	
LRP2		73.34261	
RP11-288L9.1		72.37436	
IFI44		71.00247	
RUVBL1		69.61779	
XAF1		68.47621	
KCNJ3		68.475876	
SNAP91		67.28167	
RGS7		65.60549	
NEU1		65.18884	
ECHDC3		64.60881	
ARHGAP20		64.29794	
LUM		64.12402	
SNX25		64.06156	
SBSPON		62.549145	
GMNN		62.31991	
IL6ST		62.0217	
RNF213		60.755276	
FBP1		60.62791	
IGFN1		60.062634	
PCYT2		59.715847	
