userId	geneSymbol	geneName	entrezgene	gLink
AATK	AATK	apoptosis associated tyrosine kinase	9625	https://www.ncbi.nlm.nih.gov/gene/?term=9625
ABCA4	ABCA4	ATP binding cassette subfamily A member 4	24	https://www.ncbi.nlm.nih.gov/gene/?term=24
ABCB9	ABCB9	ATP binding cassette subfamily B member 9	23457	https://www.ncbi.nlm.nih.gov/gene/?term=23457
ABHD4	ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B	63874	https://www.ncbi.nlm.nih.gov/gene/?term=63874
ACP7	ACP7	acid phosphatase 7, tartrate resistant (putative)	390928	https://www.ncbi.nlm.nih.gov/gene/?term=390928
ACSL5	ACSL5	acyl-CoA synthetase long chain family member 5	51703	https://www.ncbi.nlm.nih.gov/gene/?term=51703
ACSS2	ACSS2	acyl-CoA synthetase short chain family member 2	55902	https://www.ncbi.nlm.nih.gov/gene/?term=55902
ACTG1P20	ACTG1P20	actin gamma 1 pseudogene 20	644961	https://www.ncbi.nlm.nih.gov/gene/?term=644961
ADAM8	ADAM8	ADAM metallopeptidase domain 8	101	https://www.ncbi.nlm.nih.gov/gene/?term=101
ADAT2	ADAT2	adenosine deaminase tRNA specific 2	134637	https://www.ncbi.nlm.nih.gov/gene/?term=134637
ADCY10	ADCY10	adenylate cyclase 10	55811	https://www.ncbi.nlm.nih.gov/gene/?term=55811
ADIRF-AS1	ADIRF-AS1	ADIRF antisense RNA 1	100133190	https://www.ncbi.nlm.nih.gov/gene/?term=100133190
ADRA1B	ADRA1B	adrenoceptor alpha 1B	147	https://www.ncbi.nlm.nih.gov/gene/?term=147
ADRB2	ADRB2	adrenoceptor beta 2	154	https://www.ncbi.nlm.nih.gov/gene/?term=154
AFAP1L2	AFAP1L2	actin filament associated protein 1 like 2	84632	https://www.ncbi.nlm.nih.gov/gene/?term=84632
AFDN	AFDN	afadin, adherens junction formation factor	4301	https://www.ncbi.nlm.nih.gov/gene/?term=4301
