NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HLA-B	71	19.119909286499023	0.021459559	Yes	
row_1	HLA-F	105	13.544783592224121	0.044814	Yes	
row_2	TAP1	159	10.626980781555176	0.06717114	Yes	
row_3	HLA-C	165	10.459640502929688	0.091921814	Yes	
row_4	LGMN	175	9.96139144897461	0.11647303	Yes	
row_5	NFYB	338	4.80981969833374	0.13339484	Yes	
row_6	PSME1	454	3.297667980194092	0.15266033	Yes	
row_7	B2M	497	2.913846969604492	0.17556597	Yes	
row_8	HSP90AB1	577	2.335576295852661	0.1966266	Yes	
row_9	HLA-A	645	2.008045196533203	0.21828564	Yes	
row_10	HSPA1B	706	1.7126801013946533	0.24029371	Yes	
row_11	HLA-E	785	1.4567950963974	0.26140422	Yes	
row_12	PSME2	884	1.2200613021850586	0.28151742	Yes	
row_13	PDIA3	1022	0.9723513126373291	0.29968587	Yes	
row_14	CALR	1244	0.6903610825538635	0.3136656	Yes	
row_15	HSPA5	1369	0.5676466226577759	0.3324823	Yes	
row_16	TAPBP	1518	0.4617275893688202	0.35010222	Yes	
row_17	CANX	1824	0.325350284576416	0.3598933	Yes	
row_18	TAP2	1995	0.2727539539337158	0.37641618	Yes	
row_19	CD74	3049	0.1077234148979187	0.34890795	No	
row_20	CREB1	5551	0.013539565727114677	0.24919468	No	
row_21	RFXAP	5623	0.012557705864310265	0.27065423	No	
row_22	CIITA	5786	0.01081070676445961	0.28757605	No	
row_23	CTSS	6637	0.0045294552110135555	0.27019048	No	
row_24	RFX5	6778	0.003771703690290451	0.28820935	No	
row_25	HSPA4	8134	2.4762199609540403E-4	0.24564177	No	
row_26	HSPA8	8617	6.409394245565636E-6	0.24660666	No	
row_27	CTSL	10435	-2.939535188488662E-4	0.18100129	No	
row_28	IFI30	11069	-0.001243696198798716	0.17443652	No	
row_29	HSP90AA1	11390	-0.002053702948614955	0.1834796	No	
row_30	CTSB	11658	-0.00291498308070004	0.19516556	No	
row_31	PSME3	12916	-0.01025021355599165	0.15748478	No	
row_32	HSPA6	12959	-0.010633804835379124	0.18039045	No	
row_33	HLA-DMA	13547	-0.016801439225673676	0.17611948	No	
row_34	HSPA1L	13813	-0.020486075431108475	0.18790516	No	
row_35	RFXANK	15301	-0.05444794520735741	0.13875537	No	
row_36	NFYA	16070	-0.08813732117414474	0.12545876	No	
row_37	NFYC	16512	-0.118535116314888	0.12846814	No	
row_38	HSPA2	16803	-0.14459161460399628	0.13900718	No	
row_39	HSPA1A	19619	-3.9195759296417236	0.023636179	No	
