NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TYMP	26	40.11992263793945	0.040371202	Yes	
row_1	IMPDH1	408	3.8305177688598633	0.063054316	Yes	
row_2	CES2	724	1.6443688869476318	0.089025915	Yes	
row_3	TPMT	1087	0.8692144155502319	0.112655714	Yes	
row_4	UMPS	2008	0.2692703604698181	0.10848282	Yes	
row_5	TK2	2190	0.2262582778930664	0.14113106	Yes	
row_6	UCK2	2880	0.12373686581850052	0.14846788	Yes	
row_7	TK1	3408	0.07915259152650833	0.16387644	Yes	
row_8	UGT1A7	4383	0.036824051290750504	0.15701297	Yes	
row_9	CDA	4896	0.02378176338970661	0.17316893	Yes	
row_10	UGT1A6	5192	0.018463291227817535	0.20013705	Yes	
row_11	UCK1	5201	0.018296848982572556	0.2414051	Yes	
row_12	UGT1A1	5868	0.009879229590296745	0.24988791	Yes	
row_13	GUSB	6181	0.007532701827585697	0.276009	Yes	
row_14	UGT1A4	6528	0.00516718253493309	0.300436	Yes	
row_15	GMPS	6606	0.004708165768533945	0.3382661	Yes	
row_16	NAT1	6654	0.004442143719643354	0.37759095	Yes	
row_17	HPRT1	8325	1.0766708146547899E-4	0.33604887	No	
row_18	UPP1	12243	-0.005733191501349211	0.18254863	No	
row_19	ITPA	14333	-0.02973303385078907	0.1201296	No	
row_20	DPYD	14351	-0.03019523248076439	0.16094923	No	
row_21	XDH	14433	-0.03176388144493103	0.19858003	No	
row_22	IMPDH2	15037	-0.04578765109181404	0.21020184	No	
row_23	UCKL1	17438	-0.22726577520370483	0.13228706	No	
