NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	S1PR3	14	65.66886901855469	0.011205112	No	
row_1	OXTR	133	11.73597240447998	0.017212823	No	
row_2	PTGER4	391	4.061641216278076	0.016274007	No	
row_3	GABRQ	494	2.941810131072998	0.023081318	No	
row_4	BDKRB2	733	1.6242002248764038	0.023092026	No	
row_5	C5AR1	1017	0.9788485169410706	0.02085386	No	
row_6	GABRE	1125	0.8272595405578613	0.027411295	No	
row_7	PRLR	1659	0.38891372084617615	0.012679376	No	
row_8	NPY1R	2018	0.2657400369644165	0.006693083	No	
row_9	EDNRB	2091	0.2475408911705017	0.014999644	No	
row_10	LTB4R2	2904	0.12152901291847229	-0.013675304	No	
row_11	ADRA2C	3121	0.10081183910369873	-0.012565145	No	
row_12	THRA	3143	0.09861940145492554	-0.0017098584	No	
row_13	S1PR1	3217	0.09326742589473724	0.006546728	No	
row_14	MC1R	4065	0.04737221077084541	-0.023877347	No	
row_15	GRPR	4197	0.04314907640218735	-0.01851931	No	
row_16	P2RX6	4356	0.037417031824588776	-0.014510601	No	
row_17	LTB4R	4375	0.037025995552539825	-0.0035053887	No	
row_18	GIPR	4389	0.03667730838060379	0.007749698	No	
row_19	CHRNA10	4448	0.0351160429418087	0.016755909	No	
row_20	THRB	5005	0.021546047180891037	8.7456434E-4	No	
row_21	CHRNE	5151	0.0190872959792614	0.0055329497	No	
row_22	P2RY2	5676	0.011841160245239735	-0.008749195	No	
row_23	LPAR6	5729	0.011209536343812943	5.568663E-4	No	
row_24	PTH1R	6203	0.007349223364144564	-0.011176553	No	
row_25	LPAR3	6551	0.0050083184614777565	-0.01661312	No	
row_26	TSPO	6805	0.0036589198280125856	-0.017352037	No	
row_27	GRIK4	6852	0.003443788504227996	-0.0077461246	No	
row_28	GABRR2	6932	0.0030868551693856716	2.1061124E-4	No	
row_29	VIPR1	7219	0.0021059312857687473	-0.0021774804	No	
row_30	GABBR1	7440	0.0013936215545982122	-0.0012672212	No	
row_31	CHRM3	8159	2.288747054990381E-4	-0.02524452	No	
row_32	CHRNA5	8257	1.4194830146152526E-4	-0.018187333	No	
row_33	ADORA2B	8462	5.479094761540182E-5	-0.016477473	No	
row_34	CHRNA7	8849	0.0	-0.023863066	No	
row_35	GRIK5	9107	0.0	-0.024801882	No	
row_36	HTR1D	10483	-3.4262402914464474E-4	-0.081612766	No	
row_37	CNR1	10486	-3.4581037471070886E-4	-0.069807954	No	
row_38	GRID1	11155	-0.001455632969737053	-0.091286495	No	
row_39	ADORA1	11494	-0.0023613269440829754	-0.09627329	No	
row_40	DRD4	12132	-0.005064427386969328	-0.11620261	No	
row_41	P2RY11	12192	-0.005381240043789148	-0.10724638	No	
row_42	PTAFR	12218	-0.005547462031245232	-0.09659099	No	
row_43	GPR156	12420	-0.006721229292452335	-0.094731204	No	
row_44	GRIN3B	12765	-0.009014605544507504	-0.100017846	No	
row_45	P2RY1	13541	-0.01670127548277378	-0.12684372	Yes	
row_46	CHRM4	13644	-0.018108809366822243	-0.12003641	Yes	
row_47	PARD3	13705	-0.018975889310240746	-0.11113015	Yes	
row_48	LPAR2	13971	-0.022976988926529884	-0.112468764	Yes	
row_49	BDKRB1	14466	-0.032225351780653	-0.12525165	Yes	
row_50	P2RX7	14611	-0.035105086863040924	-0.12054329	Yes	
row_51	GLRB	14828	-0.040251944214105606	-0.119433135	Yes	
row_52	TBXA2R	14896	-0.04197961837053299	-0.1108767	Yes	
row_53	GHR	15124	-0.04885675013065338	-0.11031627	Yes	
row_54	GABRA3	15266	-0.053441405296325684	-0.105457984	Yes	
row_55	HTR7	15279	-0.05375366285443306	-0.09415292	Yes	
row_56	GABBR2	15338	-0.055879153311252594	-0.08514671	Yes	
row_57	ADRB1	15690	-0.07035236060619354	-0.09078318	Yes	
row_58	HTR2C	15917	-0.0803523063659668	-0.09017277	Yes	
row_59	EDNRA	15938	-0.08171050250530243	-0.0792675	Yes	
row_60	PRSS3	16037	-0.08659634739160538	-0.0722603	Yes	
row_61	GRIK2	16400	-0.10987551510334015	-0.078446485	Yes	
row_62	TRPV1	16445	-0.11318712681531906	-0.06874063	Yes	
row_63	PTGER1	16618	-0.12730464339256287	-0.065431565	Yes	
row_64	P2RX5	16916	-0.15462645888328552	-0.06836938	Yes	
row_65	LPAR1	16958	-0.15864916145801544	-0.058513597	Yes	
row_66	P2RY6	17061	-0.17096386849880219	-0.051706284	Yes	
row_67	GRM5	17243	-0.1962304413318634	-0.048847	Yes	
row_68	S1PR2	17454	-0.22927266359329224	-0.04743699	Yes	
row_69	OPRL1	17636	-0.26753684878349304	-0.044577707	Yes	
row_70	S1PR5	18125	-0.3954283893108368	-0.057060752	Yes	
row_71	PTGER2	18383	-0.5002031326293945	-0.057999566	Yes	
row_72	F2R	18513	-0.5693330764770508	-0.05254158	Yes	
row_73	P2RX4	18602	-0.6201738715171814	-0.04503462	Yes	
row_74	NR3C1	19166	-1.300801157951355	-0.06126579	Yes	
row_75	CHRNB1	19197	-1.3706090450286865	-0.05086028	Yes	
row_76	LEPR	19424	-2.1264796257019043	-0.05024987	Yes	
row_77	HRH1	19427	-2.1426303386688232	-0.03844506	Yes	
row_78	NPFFR2	19522	-2.8467206954956055	-0.031237947	Yes	
row_79	NTSR1	19594	-3.569545269012451	-0.022881411	Yes	
