NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRKACB	342	4.714270114898682	-0.006461702	No	
row_1	REC8	516	2.7850823402404785	-0.0044734045	No	
row_2	ITPR1	541	2.602264881134033	0.004964893	No	
row_3	CHP1	1170	0.7729832530021667	-0.015796809	No	
row_4	AURKA	1532	0.45237061381340027	-0.02320851	No	
row_5	ITPR2	1739	0.3537120819091797	-0.022870213	No	
row_6	SPDYA	1916	0.2925437092781067	-0.021031914	No	
row_7	PLK1	2023	0.26429620385169983	-0.015693618	No	
row_8	ANAPC7	2064	0.25389111042022705	-0.0070553194	No	
row_9	SMC1A	2187	0.22663870453834534	-0.002517022	No	
row_10	CAMK2G	2224	0.22038625180721283	0.0063212756	No	
row_11	PPP2R1A	2537	0.16537334024906158	0.0013595736	No	
row_12	CCNB1	2593	0.15740443766117096	0.009247871	No	
row_13	YWHAB	2631	0.15276362001895905	0.018036168	No	
row_14	ADCY6	2699	0.1453821063041687	0.025324466	No	
row_15	PRKX	3074	0.10602564364671707	0.017262764	No	
row_16	PPP2R5A	3317	0.08622410148382187	0.015801063	No	
row_17	CPEB1	3459	0.07603710889816284	0.01938936	No	
row_18	CDK1	3614	0.06825630366802216	0.022327658	No	
row_19	ANAPC4	3670	0.06507473438978195	0.030215954	No	
row_20	CDK2	3953	0.05141236260533333	0.026754253	No	
row_21	CAMK2B	4173	0.04411056265234947	0.02644255	No	
row_22	RPS6KA1	4268	0.04023981839418411	0.03238085	No	
row_23	PPP1CC	4698	0.028355775400996208	0.021569146	No	
row_24	PPP2R5D	4865	0.02443304844200611	0.023907445	No	
row_25	SGO1	5099	0.020090246573090553	0.022895742	No	
row_26	ANAPC1	5191	0.018466608598828316	0.02898404	No	
row_27	PPP2R5B	6028	0.008598401211202145	-0.0021776615	No	
row_28	SKP1	6029	0.008595041930675507	0.008460636	No	
row_29	PPP3R1	6260	0.006932297721505165	0.0075989338	No	
row_30	ANAPC2	7214	0.0021135483402758837	-0.029412767	No	
row_31	SMC3	7363	0.0016219895333051682	-0.026174469	No	
row_32	PPP2CA	7909	4.6735157957300544E-4	-0.04278617	No	
row_33	RPS6KA6	7922	4.460322961676866E-4	-0.032747872	No	
row_34	ESPL1	8077	2.9052686295472085E-4	-0.029809576	No	
row_35	ADCY1	8584	1.6092561054392718E-5	-0.04447128	No	
row_36	ANAPC5	10052	-4.382142287795432E-5	-0.10718298	Yes	
row_37	ANAPC10	10222	-1.1824515968328342E-4	-0.104994684	Yes	
row_38	MAPK1	10352	-2.0732150005642325E-4	-0.100806385	Yes	
row_39	PPP2CB	10549	-3.991251578554511E-4	-0.09996808	Yes	
row_40	AR	10707	-5.735211889259517E-4	-0.097179785	Yes	
row_41	SMC1B	10896	-8.979048579931259E-4	-0.09594149	Yes	
row_42	RBX1	10922	-9.765771683305502E-4	-0.08655319	Yes	
row_43	SLK	11084	-0.0012775268405675888	-0.08396489	Yes	
row_44	CALM3	11235	-0.0016777400160208344	-0.080826595	Yes	
row_45	CALM2	11254	-0.001717567560262978	-0.0710883	Yes	
