NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP6V0A4	15	65.01049041748047	0.0089584	Yes	
row_1	NDUFA4L2	255	6.262496471405029	0.006711758	Yes	
row_2	NDUFS5	543	2.5762131214141846	0.0020640357	Yes	
row_3	COX4I1	759	1.53932523727417	0.0010179338	Yes	
row_4	NDUFB3	818	1.3547197580337524	0.007825366	Yes	
row_5	COX10	821	1.3477565050125122	0.017434059	Yes	
row_6	ATP6V1G1	923	1.147034764289856	0.022090524	Yes	
row_7	ATP6V0E1	1012	0.9809451699256897	0.02739728	Yes	
row_8	ATP6V1C1	1013	0.9804942607879639	0.03710602	Yes	
row_9	COX5B	1090	0.8661741614341736	0.043013047	Yes	
row_10	ATP6V1A	1341	0.5941748023033142	0.040216155	Yes	
row_11	UQCRC2	1345	0.59140944480896	0.049774826	Yes	
row_12	NDUFS6	1529	0.4528507888317108	0.050329443	Yes	
row_13	NDUFS4	1678	0.3801455795764923	0.05263485	Yes	
row_14	ATP6AP1	1703	0.36994948983192444	0.061143048	Yes	
row_15	UQCRQ	1897	0.2998318076133728	0.06119744	Yes	
row_16	ATP6V0D1	1990	0.27422261238098145	0.06630411	Yes	
row_17	COX7B	2062	0.2555256485939026	0.07246125	Yes	
row_18	UQCR10	2246	0.21603837609291077	0.07301587	Yes	
row_19	NDUFS3	2247	0.2160000056028366	0.08272461	Yes	
row_20	COX5A	2303	0.20665042102336884	0.0896821	Yes	
row_21	ATP6V1H	2366	0.1964481770992279	0.09628945	Yes	
row_22	NDUFS1	2463	0.1759243756532669	0.10119603	Yes	
row_23	COX8A	2471	0.1748642474412918	0.110554606	Yes	
row_24	UQCRB	2597	0.15712669491767883	0.11401053	Yes	
row_25	SDHA	2683	0.1469508856534958	0.119467355	Yes	
row_26	NDUFA6	2783	0.13499927520751953	0.124223866	Yes	
row_27	ATP6V1E1	2958	0.11637093126773834	0.12522869	Yes	
row_28	NDUFB5	3163	0.09686730057001114	0.12473283	Yes	
row_29	ATP6V1F	3175	0.0959845706820488	0.13389131	Yes	
row_30	UQCRFS1	3195	0.09424562007188797	0.14264964	Yes	
row_31	NDUFA1	3214	0.09349343180656433	0.15145797	Yes	
row_32	NDUFA2	3226	0.09270404279232025	0.16061646	Yes	
row_33	CYC1	3438	0.07730749249458313	0.15977044	Yes	
row_34	NDUFA8	3489	0.07468265295028687	0.16697806	Yes	
row_35	NDUFAB1	3612	0.06837110221385956	0.17058405	Yes	
row_36	NDUFB1	3634	0.06722566485404968	0.17924231	Yes	
row_37	COX6B1	3756	0.060843367129564285	0.18289833	Yes	
row_38	SDHC	4071	0.04715849831700325	0.1769	Yes	
row_39	NDUFA4	4274	0.04011840373277664	0.17650418	Yes	
row_40	MT-ND6	4410	0.036197613924741745	0.17945988	Yes	
row_41	MT-CO2	4416	0.03602118790149689	0.18891852	Yes	
row_42	NDUFS2	4562	0.0321744829416275	0.19137399	Yes	
row_43	COX7C	4616	0.030550392344594002	0.19843154	Yes	
row_44	COX6A1	4653	0.029646672308444977	0.20633946	Yes	
row_45	UQCRH	4689	0.028495900332927704	0.21429741	Yes	
row_46	COX6C	4736	0.027365295216441154	0.22170511	Yes	
row_47	ATP6V1B2	4884	0.02407943643629551	0.22406054	Yes	
