NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ISG15	69	19.695310592651367	0.016165245	Yes	
row_1	IFIH1	247	6.4447431564331055	0.026942076	Yes	
row_2	DHX58	422	3.6392972469329834	0.037868585	Yes	
row_3	TBK1	788	1.447064995765686	0.039265584	Yes	
row_4	MAPK14	882	1.223617672920227	0.054233402	Yes	
row_5	TRIM25	937	1.116734504699707	0.07114704	Yes	
row_6	IKBKG	1172	0.7695595026016235	0.079079986	Yes	
row_7	FADD	1230	0.7045074701309204	0.09584394	Yes	
row_8	OTUD5	1602	0.4174129068851471	0.09694158	Yes	
row_9	RIPK1	1771	0.3413979411125183	0.10816745	Yes	
row_10	CASP8	1817	0.32775169610977173	0.12553012	Yes	
row_11	IRF3	1832	0.32293152809143066	0.14443946	Yes	
row_12	IRF7	2087	0.24823231995105743	0.15137456	Yes	
row_13	IKBKB	2258	0.21393540501594543	0.16250063	Yes	
row_14	TRAF2	2319	0.20353935658931732	0.17911492	Yes	
row_15	NFKBIB	2650	0.15023723244667053	0.18225816	Yes	
row_16	CXCL10	2900	0.1221885085105896	0.18944271	Yes	
row_17	AZI2	2962	0.1159006729722023	0.20600711	Yes	
row_18	CASP10	3052	0.10747867077589035	0.2211745	Yes	
row_19	DDX3X	3225	0.09271658211946487	0.23220079	Yes	
row_20	SIKE1	3270	0.08939693123102188	0.24961334	Yes	
row_21	TANK	3286	0.0882604569196701	0.2684728	Yes	
row_22	RELA	3745	0.06136971712112427	0.2652298	Yes	
row_23	MAPK13	4043	0.04843500256538391	0.27001947	Yes	
row_24	TRADD	4044	0.048399679362773895	0.2896273	Yes	
row_25	MAP3K1	4145	0.0448695570230484	0.3042459	Yes	
row_26	DDX3Y	5114	0.01980617456138134	0.27555758	No	
row_27	CHUK	5431	0.015260173939168453	0.2793993	No	
row_28	NFKBIA	5578	0.013216163963079453	0.29172283	No	
row_29	MAPK10	6107	0.008022389374673367	0.2849873	No	
row_30	PIN1	6710	0.0040964907966554165	0.27455974	No	
row_31	TKFC	6950	0.003015146590769291	0.28224322	No	
row_32	IKBKE	7703	8.191926754079759E-4	0.26433173	No	
row_33	MAPK9	7896	4.8411558964289725E-4	0.27436015	No	
row_34	IL12A	8503	4.135973358643241E-5	0.263733	No	
row_35	RNF125	9339	0.0	0.24168043	No	
row_36	CYLD	11657	-0.0029062903486192226	0.14568682	No	
row_37	MAP3K7	12359	-0.006362153682857752	0.13031985	No	
row_38	NFKB1	12574	-0.007644062861800194	0.13925065	No	
row_39	ATG12	12581	-0.0076680732890963554	0.15855914	No	
row_40	TBKBP1	13192	-0.01289817038923502	0.14773242	No	
row_41	MAPK12	13395	-0.01507548987865448	0.15726194	No	
row_42	IFNE	14006	-0.023456396535038948	0.14643522	No	
row_43	MAVS	14519	-0.033033862709999084	0.14049798	No	
row_44	CXCL8	14703	-0.037548698484897614	0.15097545	No	
row_45	TRAF6	16475	-0.11582797765731812	0.082223274	No	
row_46	MAPK11	17151	-0.18329299986362457	0.06815352	No	
row_47	ATG5	17729	-0.2869115471839905	0.058973264	No	
row_48	TRAF3	18402	-0.5103878974914551	0.045053195	No	
row_49	MAPK8	19142	-1.2508012056350708	0.027790312	No	
row_50	NLRX1	19180	-1.3358550071716309	0.045552123	No	
