NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_OXIDATIVE_PHOSPHORYLATION	KEGG_OXIDATIVE_PHOSPHORYLATION	Details ...	103	0.34730774	4.1299458	0.0	0.0	0.0	6517	tags=67%, list=32%, signal=99%	
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	Details ...	133	0.27477494	3.663792	0.0	0.0	0.0	6903	tags=62%, list=34%, signal=93%	
KEGG_PARKINSONS_DISEASE	KEGG_PARKINSONS_DISEASE	Details ...	102	0.31582636	3.6342132	0.0	0.0	0.0	6687	tags=65%, list=33%, signal=96%	
KEGG_STEROID_BIOSYNTHESIS	KEGG_STEROID_BIOSYNTHESIS	Details ...	16	0.6950518	3.402674	0.0	0.0	0.0	3626	tags=88%, list=18%, signal=107%	
KEGG_HUNTINGTONS_DISEASE	KEGG_HUNTINGTONS_DISEASE	Details ...	150	0.23739673	3.3912244	0.0	0.0	0.0	6517	tags=56%, list=32%, signal=82%	
KEGG_LYSOSOME	KEGG_LYSOSOME	Details ...	111	0.23859335	3.0159476	0.0	0.0	0.0	7360	tags=60%, list=37%, signal=95%	
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	Details ...	40	0.37641618	2.8214781	0.0	2.0120724E-4	0.001	1995	tags=48%, list=10%, signal=53%	
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	Details ...	24	0.4492402	2.6426687	0.0	0.0012554734	0.008	8565	tags=88%, list=43%, signal=152%	
KEGG_PROTEIN_EXPORT	KEGG_PROTEIN_EXPORT	Details ...	24	0.43910068	2.5787425	0.0	0.0013999953	0.01	7094	tags=79%, list=35%, signal=122%	
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	Details ...	51	0.3042459	2.4927578	0.0	0.0021506187	0.016	4145	tags=51%, list=21%, signal=64%	
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	Details ...	33	0.35930866	2.4626021	0.0	0.0026636487	0.022	5578	tags=64%, list=28%, signal=88%	
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	KEGG_GLYCOLYSIS_GLUCONEOGENESIS	Details ...	40	0.30950186	2.3887768	0.0	0.004089725	0.036	6351	tags=63%, list=32%, signal=91%	
KEGG_CARDIAC_MUSCLE_CONTRACTION	KEGG_CARDIAC_MUSCLE_CONTRACTION	Details ...	53	0.28135812	2.376157	0.0	0.004136878	0.04	4976	tags=53%, list=25%, signal=70%	
KEGG_PROTEASOME	KEGG_PROTEASOME	Details ...	40	0.30943704	2.321369	0.002008032	0.0053579346	0.054	7357	tags=68%, list=37%, signal=106%	
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	KEGG_DRUG_METABOLISM_OTHER_ENZYMES	Details ...	24	0.37759095	2.2658353	0.001980198	0.0068012266	0.075	6654	tags=71%, list=33%, signal=106%	
